materialSample,observation,sampleTypes,substance,substanceL,value,unit
http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222850502.20220525,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222850502.20220525.1763231,SURFACE WATER,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,PERFLOUROOCTANE SULFONIC ACID,0.657,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222850502.20220525,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222850502.20220525.1763231,SURFACE WATER,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,PERFLUOROOCTANE SULFONIC ACID,0.657,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222850502.20220525,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222850502.20220525.2706903,SURFACE WATER,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFPEA_A,PERFLUOROPENTANOIC ACID,0.822,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222850502.20220525,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222850502.20220525.307244,SURFACE WATER,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXA_A,PERFLUOROHEXANOIC ACID,0.282,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222850502.20220525,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222850502.20220525.375224,SURFACE WATER,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBA_A,PERFLUOROBUTANOIC ACID,0.794,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222850502.20220525,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222850502.20220525.375859,SURFACE WATER,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHPA_A,PERFLUOROHEPTANOIC ACID,0.478,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224245103.20220802,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL224245103.20220802.1763231,SURFACE WATER,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,PERFLOUROOCTANE SULFONIC ACID,0.886,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224245103.20220802,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL224245103.20220802.1763231,SURFACE WATER,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,PERFLUOROOCTANE SULFONIC ACID,0.886,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224245103.20220802,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL224245103.20220802.2706903,SURFACE WATER,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFPEA_A,PERFLUOROPENTANOIC ACID,0.848,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224245103.20220802,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL224245103.20220802.307244,SURFACE WATER,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXA_A,PERFLUOROHEXANOIC ACID,0.606,http://qudt.org/vocab/unit/NanoGM-PER-L
