observation,feature,sample,property,substance,result,value,unit,sampleMaterialType,samplePoint
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.1763231,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.1763231,413.0,http://qudt.org/vocab/unit/NanoGM-PER-L,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.2058948,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFUNDA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.2058948,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.2355319,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.N-MeFOSAA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.2355319,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.2706903,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFPEA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.2706903,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.2706914,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFPES_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.2706914,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.27619972,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.6-2_FTS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.27619972,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.2991506,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.N-EtFOSAA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.2991506,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.307244,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.307244,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.307551,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFDOA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.307551,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.335671,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.335671,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
