dtxsid,measurement,observation,sample,sampleType,substanceName,unit,value
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234936402.AAWH.20230823.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234936402.20230823.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234936402.20230823>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.047
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235598302.AAWH.20230922.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235598302.20230922.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235598302.20230922>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.05
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234936401.AAWH.20230823.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234936401.20230823.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234936401.20230823>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.051
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235816719.AAWH.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235816719.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235816719.20230929>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.052
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226138503.AAWH.20221101.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226138503.20221101.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226138503.20221101>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.053
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233947111.AAWH.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233947111.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233947111.20230707>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.053
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L232977501.AAWH.20230502.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL232977501.20230502.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL232977501.20230502>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.053
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235816702.AAWH.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235816702.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235816702.20230929>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.053
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L232954902.AAWH.20230525.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL232954902.20230525.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL232954902.20230525>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.053
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226570202.AAWH.20221121.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226570202.20221121.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226570202.20221121>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.053
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233947111.AAWH.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233947111.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233947111.20230707>,SOIL,Perfluorobutanesulfonic acid,ng/L,0.053
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235952402.AAWH.20231004.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235952402.20231004.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235952402.20231004>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.054
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L213529702.AAWH.20210629.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL213529702.20210629.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL213529702.20210629>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.055
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233749702.AAWH.20230627.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233749702.20230627.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233749702.20230627>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.056
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233686203.AAWH.20230626.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233686203.20230626.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233686203.20230626>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.056
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222461501.AAWH.20220510.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222461501.20220510.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222461501.20220510>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.056
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233810803.AAWH.20230627.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233810803.20230627.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233810803.20230627>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.056
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L224099602.AAWH.20220727.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL224099602.20220727.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224099602.20220727>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.058
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222376502.AAWH.20220505.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222376502.20220505.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222376502.20220505>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.059
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L223443702.AAWH.20220628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL223443702.20220628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223443702.20220628>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.06
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234054604.AAWH.20230711.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234054604.20230711.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234054604.20230711>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.06
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235816716.AAWH.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235816716.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235816716.20230929>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.06
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234936403.AAWH.20230823.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234936403.20230823.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234936403.20230823>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.061
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L223443701.AAWH.20220628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL223443701.20220628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223443701.20220628>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.061
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222261401.AAWH.20220429.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222261401.20220429.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222261401.20220429>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.061
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L223951701.AAWH.20220720.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL223951701.20220720.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223951701.20220720>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.061
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L204767401R.AAWH.20201029.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL204767401R.20201029.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL204767401R.20201029>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.061
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L221989502.AAWH.20220415.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL221989502.20220415.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL221989502.20220415>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.061
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236408401.AAWH.20230922.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236408401.20230922.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236408401.20230922>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.061
