feature,featureType,observation,cas,substanceName,measurement,value,unit
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.95064,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.VAL180155004.20180628.335671,335671,PERFLUOROOCTANOIC ACID,http://sawgraph.spatialai.org/v1/me-egad-data#result.180155004.VAL.20180628.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.95064,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.VAL180155004.20180628.335671,335671,PERFLUOROOCTANOIC ACID-LINEAR,http://sawgraph.spatialai.org/v1/me-egad-data#result.180155004.VAL.20180628.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.107589,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.VAL180155005.20180628.335671,335671,PERFLUOROOCTANOIC ACID,http://sawgraph.spatialai.org/v1/me-egad-data#result.180155005.VAL.20180628.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.107589,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.VAL180155005.20180628.335671,335671,PERFLUOROOCTANOIC ACID-LINEAR,http://sawgraph.spatialai.org/v1/me-egad-data#result.180155005.VAL.20180628.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.95073,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.VAL180155001.20180628.335671,335671,PERFLUOROOCTANOIC ACID,http://sawgraph.spatialai.org/v1/me-egad-data#result.180155001.VAL.20180628.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.95073,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.VAL180155001.20180628.335671,335671,PERFLUOROOCTANOIC ACID-LINEAR,http://sawgraph.spatialai.org/v1/me-egad-data#result.180155001.VAL.20180628.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.95065,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.VAL180155003.20180628.335671,335671,PERFLUOROOCTANOIC ACID,http://sawgraph.spatialai.org/v1/me-egad-data#result.180155003.VAL.20180628.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.95065,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.VAL180155003.20180628.335671,335671,PERFLUOROOCTANOIC ACID-LINEAR,http://sawgraph.spatialai.org/v1/me-egad-data#result.180155003.VAL.20180628.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.134739,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.AAWHL203550208.20200828.335671,335671,PERFLUOROOCTANOIC ACID,http://sawgraph.spatialai.org/v1/me-egad-data#result.L203550208.AAWH.20200828.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.134739,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.AAWHL203550208.20200828.335671,335671,PERFLUOROOCTANOIC ACID-LINEAR,http://sawgraph.spatialai.org/v1/me-egad-data#result.L203550208.AAWH.20200828.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.134739,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.AAWHL203550209.20200828.335671,335671,PERFLUOROOCTANOIC ACID,http://sawgraph.spatialai.org/v1/me-egad-data#result.L203550209.AAWH.20200828.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.134739,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.AAWHL203550209.20200828.335671,335671,PERFLUOROOCTANOIC ACID-LINEAR,http://sawgraph.spatialai.org/v1/me-egad-data#result.L203550209.AAWH.20200828.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.41808,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.AAWHL203550201.20200827.335671,335671,PERFLUOROOCTANOIC ACID,http://sawgraph.spatialai.org/v1/me-egad-data#result.L203550201.AAWH.20200827.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.41808,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.AAWHL203550201.20200827.335671,335671,PERFLUOROOCTANOIC ACID-LINEAR,http://sawgraph.spatialai.org/v1/me-egad-data#result.L203550201.AAWH.20200827.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.136210,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.AAWHL193561303.20190807.335671,335671,PERFLUOROOCTANOIC ACID,http://sawgraph.spatialai.org/v1/me-egad-data#result.L193561303.AAWH.20190807.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.136210,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.AAWHL193561303.20190807.335671,335671,PERFLUOROOCTANOIC ACID-LINEAR,http://sawgraph.spatialai.org/v1/me-egad-data#result.L193561303.AAWH.20190807.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.136210,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.AAWHL195701201.20191126.335671,335671,PERFLUOROOCTANOIC ACID,http://sawgraph.spatialai.org/v1/me-egad-data#result.L195701201.AAWH.20191126.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
http://sawgraph.spatialai.org/v1/me-egad-data#sampledFeature.136210,http://sawgraph.spatialai.org/v1/me-egad-data#featureType.PWSW,http://sawgraph.spatialai.org/v1/me-egad-data#observation.AAWHL195701201.20191126.335671,335671,PERFLUOROOCTANOIC ACID-LINEAR,http://sawgraph.spatialai.org/v1/me-egad-data#result.L195701201.AAWH.20191126.335671,http://w3id.org/coso/v1/contaminoso#non-detect,ng/L
