substance,unit,AvgConcentration,sampleCount
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFHXS,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,1.712086206896551724137931,29
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFHPA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.26935,16
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFDOA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.800249038461538461538462,104
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFUNDA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,1.204081132075471698113208,106
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFOA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.53554375,32
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFOS,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,16.389452830188679245283019,106
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFNA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.587932727272727272727273,55
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFDA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,1.103215094339622641509434,106
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFTRDA_A,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.694774444444444444444444,90
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFDS,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.151511111111111111111111,18
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFTEA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.433211267605633802816901,71
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFHPS,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.435241666666666666666667,12
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.N-EtFOSAA_A,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.7551375,24
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.6-2_FTS,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.507515384615384615384615,13
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFBA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.517925,4
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.8-2_FTS,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.41552,5
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFPES,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,1.03875,2
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFPEA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.25165,2
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFNS,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.3715,2
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFOSA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,1.372762790697674418604651,43
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.7-3_FTC_A,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,12.458857142857142857142857,7
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFHXA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.2403,5
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.PFBS,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.1028,1
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.5-3_FTC_A,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,3.3085,2
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.N-EtFOSE,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,1.18524,5
http://sawgraph.spatialai.org/v1/me-egad-data#parameter.N-MEFOSA,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM,0.117233333333333333333333,6
